Logging to results/training_logs/raw_runs/train_dpo_raw_20260511_180032.log
{"batch_size": 2, "beta": 0.1, "epochs": 1, "eval_file": "data/processed/training/hh_rlhf/hh_rlhf_test.jsonl", "fp16": true, "grad_accum": 8, "log_dir": "results/training_logs/raw_runs", "log_steps": 500, "lr": 1e-05, "max_length": 512, "max_prompt_length": 256, "max_samples": null, "model_name": "/content/drive/MyDrive/CS5788/models/sft", "output_dir": "models/dpo", "ref_model_name": null, "train_file": "data/processed/training/hh_rlhf/hh_rlhf_train.jsonl"}
Train: 42486 examples | Eval: 2308 examples
train_step epoch 0 | step 1/2656 | loss 0.6745 | reward_margin 0.1072
train_step epoch 0 | step 2/2656 | loss 0.7389 | reward_margin 0.1835
train_step epoch 0 | step 3/2656 | loss 0.6284 | reward_margin 0.2316
train_step epoch 0 | step 4/2656 | loss 0.6619 | reward_margin 0.1874
train_step epoch 0 | step 5/2656 | loss 0.7080 | reward_margin 0.0175
train_step epoch 0 | step 6/2656 | loss 0.5523 | reward_margin 0.3948
train_step epoch 0 | step 7/2656 | loss 0.5967 | reward_margin 0.2565
train_step epoch 0 | step 8/2656 | loss 0.7943 | reward_margin -0.0994
train_step epoch 0 | step 9/2656 | loss 0.5791 | reward_margin 0.4194
train_step epoch 0 | step 10/2656 | loss 0.8302 | reward_margin 0.1005
train_step epoch 0 | step 11/2656 | loss 0.6025 | reward_margin 0.2818
train_step epoch 0 | step 12/2656 | loss 0.7516 | reward_margin -0.0287
train_step epoch 0 | step 13/2656 | loss 0.6023 | reward_margin 0.2566
train_step epoch 0 | step 14/2656 | loss 0.6595 | reward_margin 0.1544
train_step epoch 0 | step 15/2656 | loss 0.6233 | reward_margin 0.3960
train_step epoch 0 | step 16/2656 | loss 0.7332 | reward_margin -0.0156
train_step epoch 0 | step 17/2656 | loss 0.6058 | reward_margin 0.4212
train_step epoch 0 | step 18/2656 | loss 0.7483 | reward_margin -0.0544
train_step epoch 0 | step 19/2656 | loss 0.5462 | reward_margin 0.3897
train_step epoch 0 | step 20/2656 | loss 0.7583 | reward_margin -0.0709
train_step epoch 0 | step 21/2656 | loss 0.7749 | reward_margin -0.0079
train_step epoch 0 | step 22/2656 | loss 0.6096 | reward_margin 0.2869
train_step epoch 0 | step 23/2656 | loss 0.6513 | reward_margin 0.1628
train_step epoch 0 | step 24/2656 | loss 0.7907 | reward_margin -0.0603
train_step epoch 0 | step 25/2656 | loss 0.5315 | reward_margin 0.4602
train_step epoch 0 | step 26/2656 | loss 0.7334 | reward_margin -0.0342
train_step epoch 0 | step 27/2656 | loss 0.6495 | reward_margin 0.1076
train_step epoch 0 | step 28/2656 | loss 0.7447 | reward_margin 0.0153
train_step epoch 0 | step 29/2656 | loss 0.6665 | reward_margin 0.2911
train_step epoch 0 | step 30/2656 | loss 0.7391 | reward_margin -0.0130
train_step epoch 0 | step 31/2656 | loss 0.9080 | reward_margin -0.2838
train_step epoch 0 | step 32/2656 | loss 0.9279 | reward_margin -0.2659
train_step epoch 0 | step 33/2656 | loss 0.7295 | reward_margin 0.0962
train_step epoch 0 | step 34/2656 | loss 0.7307 | reward_margin 0.2438
train_step epoch 0 | step 35/2656 | loss 0.6127 | reward_margin 0.2006
train_step epoch 0 | step 36/2656 | loss 0.5940 | reward_margin 0.2414
train_step epoch 0 | step 37/2656 | loss 0.6357 | reward_margin 0.3163
train_step epoch 0 | step 38/2656 | loss 0.7179 | reward_margin 0.0166
train_step epoch 0 | step 39/2656 | loss 0.6114 | reward_margin 0.3093
