Logging to results/training_logs/raw_runs/train_sft_raw_20260511_174855.log
{"batch_size": 4, "epochs": 1, "eval_file": "data/processed/training/hh_rlhf/hh_rlhf_test.jsonl", "fp16": true, "grad_accum": 4, "log_dir": "results/training_logs/raw_runs", "log_steps": 500, "lr": 2e-05, "max_length": 512, "max_prompt_length": 256, "max_samples": null, "model_name": "gpt2", "output_dir": "models/sft", "train_file": "data/processed/training/hh_rlhf/hh_rlhf_train.jsonl"}
Train: 42486 examples | Eval: 2308 examples
train_step epoch 0 | step 1/2656 | loss 3.0938
train_step epoch 0 | step 2/2656 | loss 3.2009
train_step epoch 0 | step 3/2656 | loss 3.0047
train_step epoch 0 | step 4/2656 | loss 2.8334
train_step epoch 0 | step 5/2656 | loss 2.7847
train_step epoch 0 | step 6/2656 | loss 2.8289
train_step epoch 0 | step 7/2656 | loss 2.9020
train_step epoch 0 | step 8/2656 | loss 2.8681
train_step epoch 0 | step 9/2656 | loss 2.8074
train_step epoch 0 | step 10/2656 | loss 2.7242
train_step epoch 0 | step 11/2656 | loss 2.6949
train_step epoch 0 | step 12/2656 | loss 2.8308
train_step epoch 0 | step 13/2656 | loss 2.9087
train_step epoch 0 | step 14/2656 | loss 2.7411
train_step epoch 0 | step 15/2656 | loss 2.7749
train_step epoch 0 | step 16/2656 | loss 2.6999
train_step epoch 0 | step 17/2656 | loss 2.7823
train_step epoch 0 | step 18/2656 | loss 2.6399
train_step epoch 0 | step 19/2656 | loss 3.0498
train_step epoch 0 | step 20/2656 | loss 2.6548
train_step epoch 0 | step 21/2656 | loss 3.0128
train_step epoch 0 | step 22/2656 | loss 2.6555
train_step epoch 0 | step 23/2656 | loss 2.3501
train_step epoch 0 | step 24/2656 | loss 2.5002
train_step epoch 0 | step 25/2656 | loss 2.8411
train_step epoch 0 | step 26/2656 | loss 2.7372
train_step epoch 0 | step 27/2656 | loss 2.6270
train_step epoch 0 | step 28/2656 | loss 2.5570
train_step epoch 0 | step 29/2656 | loss 2.9168
train_step epoch 0 | step 30/2656 | loss 2.8065
train_step epoch 0 | step 31/2656 | loss 2.6189
train_step epoch 0 | step 32/2656 | loss 2.6738
train_step epoch 0 | step 33/2656 | loss 2.8191
